,source,target,weight
799,42,41,19
800,42,43,17
801,42,23,16
802,42,45,15
803,42,30,14
804,42,4,13
805,42,48,12
806,42,49,11
807,42,16,10
808,42,29,9
809,42,11,8
810,42,53,7
811,42,54,6
812,42,33,5
813,42,56,4
814,42,57,3
815,42,0,2
816,42,59,1
817,43,40,20
818,43,41,19
819,43,42,18
820,43,23,16
821,43,45,15
822,43,30,14
823,43,4,13
824,43,48,12
825,43,49,11
826,43,16,10
827,43,29,9
828,43,11,8
829,43,53,7
830,43,54,6
831,43,33,5
832,43,56,4
833,43,57,3
834,43,0,2
835,43,59,1
836,23,40,20
837,23,41,19
838,23,42,18
839,23,43,17
840,23,45,15
841,23,30,14
842,23,4,13
843,23,48,12
844,23,49,11
845,23,16,10
846,23,29,9
847,23,11,8
848,23,53,7
849,23,54,6
850,23,33,5
851,23,56,4
852,23,57,3
853,23,0,2
854,23,59,1
855,45,40,20
856,45,41,19
857,45,42,18
858,45,43,17
859,45,23,16
860,45,30,14
861,45,4,13
862,45,48,12
863,45,49,11
864,45,16,10
865,45,29,9
866,45,11,8
867,45,53,7
868,45,54,6
869,45,33,5
870,45,56,4
871,45,57,3
872,45,0,2
873,45,59,1
874,30,40,20
875,30,41,19
876,30,42,18
877,30,43,17
878,30,23,16
879,30,45,15
880,30,4,13
881,30,48,12
882,30,49,11
883,30,16,10
884,30,29,9
885,30,11,8
886,30,53,7
887,30,54,6
888,30,33,5
889,30,56,4
890,30,57,3
891,30,0,2
892,30,59,1
893,4,40,20
894,4,41,19
895,4,42,18
896,4,43,17
897,4,23,16
898,4,45,15
899,4,30,14
900,4,48,12
901,4,49,11
902,4,16,10
903,4,29,9
904,4,11,8
905,4,53,7
906,4,54,6
907,4,33,5
908,4,56,4
909,4,57,3
910,4,0,2
911,4,59,1
912,48,40,20
913,48,41,19
914,48,42,18
915,48,43,17
916,48,23,16
917,48,45,15
918,48,30,14
919,48,4,13
920,48,49,11
921,48,16,10
922,48,29,9
923,48,11,8
924,48,53,7
925,48,54,6
926,48,33,5
927,48,56,4
928,48,57,3
929,48,0,2
930,48,59,1
931,49,40,20
932,49,41,19
933,49,42,18
934,49,43,17
935,49,23,16
936,49,45,15
937,49,30,14
938,49,4,13
939,49,48,12
940,49,16,10
941,49,29,9
942,49,11,8
943,49,53,7
944,49,54,6
945,49,33,5
946,49,56,4
947,49,57,3
948,49,0,2
949,49,59,1
950,16,40,20
951,16,41,19
952,16,42,18
953,16,43,17
954,16,23,16
955,16,45,15
956,16,30,14
957,16,4,13
958,16,48,12
959,16,49,11
960,16,29,9
961,16,11,8
962,16,53,7
963,16,54,6
964,16,33,5
965,16,56,4
966,16,57,3
967,16,0,2
968,16,59,1
969,29,40,20
970,29,41,19
971,29,42,18
972,29,43,17
973,29,23,16
974,29,45,15
975,29,30,14
976,29,4,13
977,29,48,12
978,29,49,11
979,29,16,10
980,29,11,8
981,29,53,7
982,29,54,6
983,29,33,5
984,29,56,4
985,29,57,3
986,29,0,2
987,29,59,1
988,11,40,20
989,11,41,19
990,11,42,18
991,11,43,17
992,11,23,16
993,11,45,15
994,11,30,14
995,11,4,13
996,11,48,12
997,11,49,11
998,11,16,10
999,11,29,9
1000,11,53,7
1001,11,54,6
1002,11,33,5
1003,11,56,4
1004,11,57,3
1005,11,0,2
1006,11,59,1
1007,53,40,20
1008,53,41,19
1009,53,42,18
1010,53,43,17
1011,53,23,16
1012,53,45,15
1013,53,30,14
1014,53,4,13
1015,53,48,12
1016,53,49,11
1017,53,16,10
1018,53,29,9
1019,53,11,8
1020,53,54,6
1021,53,33,5
1022,53,56,4
1023,53,57,3
1024,53,0,2
1025,53,59,1
1026,54,40,20
1027,54,41,19
1028,54,42,18
1029,54,43,17
1030,54,23,16
1031,54,45,15
1032,54,30,14
1033,54,4,13
1034,54,48,12
1035,54,49,11
1036,54,16,10
1037,54,29,9
1038,54,11,8
1039,54,53,7
1040,54,33,5
1041,54,56,4
1042,54,57,3
1043,54,0,2
1044,54,59,1
1045,33,40,20
1046,33,41,19
1047,33,42,18
1048,33,43,17
1049,33,23,16
1050,33,45,15
1051,33,30,14
1052,33,4,13
1053,33,48,12
1054,33,49,11
1055,33,16,10
1056,33,29,9
1057,33,11,8
1058,33,53,7
1059,33,54,6
1060,33,56,4
1061,33,57,3
1062,33,0,2
1063,33,59,1
1064,56,40,20
1065,56,41,19
1066,56,42,18
1067,56,43,17
1068,56,23,16
1069,56,45,15
1070,56,30,14
1071,56,4,13
1072,56,48,12
1073,56,49,11
1074,56,16,10
1075,56,29,9
1076,56,11,8
1077,56,53,7
1078,56,54,6
1079,56,33,5
1080,56,57,3
1081,56,0,2
1082,56,59,1
1083,57,40,20
1084,57,41,19
1085,57,42,18
1086,57,43,17
1087,57,23,16
1088,57,45,15
1089,57,30,14
1090,57,4,13
1091,57,48,12
1092,57,49,11
1093,57,16,10
1094,57,29,9
1095,57,11,8
1096,57,53,7
1097,57,54,6
1098,57,33,5
1099,57,56,4
1100,57,0,2
1101,57,59,1
1102,0,40,20
1103,0,41,19
1104,0,42,18
1105,0,43,17
1106,0,23,16
1107,0,45,15
1108,0,30,14
1109,0,4,13
1110,0,48,12
1111,0,49,11
1112,0,16,10
1113,0,29,9
1114,0,11,8
1115,0,53,7
1116,0,54,6
1117,0,33,5
1118,0,56,4
1119,0,57,3
1120,0,59,1
1121,59,40,20
1122,59,41,19
1123,59,42,18
1124,59,43,17
1125,59,23,16
1126,59,45,15
1127,59,30,14
1128,59,4,13
1129,59,48,12
1130,59,49,11
1131,59,16,10
1132,59,29,9
1133,59,11,8
1134,59,53,7
1135,59,54,6
1136,59,33,5
1137,59,56,4
1138,59,57,3
1139,59,0,2
1140,60,61,19
1141,60,29,18
1142,60,22,17
1143,60,6,16
1144,60,65,15
1145,60,66,14
1146,60,31,13
1147,60,35,12
1148,60,69,11
1149,60,70,10
1150,60,71,9
1151,60,25,8
1152,60,73,7
1153,60,11,6
1154,60,75,5
1155,60,33,4
1156,60,77,3
1157,60,78,2
1158,60,30,1
1159,61,60,20
1160,61,29,18
1161,61,22,17
1162,61,6,16
1163,61,65,15
1164,61,66,14
1165,61,31,13
1166,61,35,12
1167,61,69,11
1168,61,70,10
1169,61,71,9
1170,61,25,8
1171,61,73,7
1172,61,11,6
1173,61,75,5
1174,61,33,4
1175,61,77,3
1176,61,78,2
1177,61,30,1
1178,29,60,20
1179,29,61,19
1180,29,22,17
1181,29,6,16
1182,29,65,15
1183,29,66,14
1184,29,31,13
1185,29,35,12
1186,29,69,11
1187,29,70,10
1188,29,71,9
1189,29,25,8
1190,29,73,7
1191,29,11,6
1192,29,75,5
1193,29,33,4
1194,29,77,3
1195,29,78,2
1196,29,30,1
1197,22,60,20
1198,22,61,19
1199,22,29,18
1200,22,6,16
1201,22,65,15
1202,22,66,14
1203,22,31,13
1204,22,35,12
1205,22,69,11
1206,22,70,10
1207,22,71,9
1208,22,25,8
1209,22,73,7
1210,22,11,6
1211,22,75,5
1212,22,33,4
1213,22,77,3
1214,22,78,2
1215,22,30,1
1216,6,60,20
1217,6,61,19
1218,6,29,18
1219,6,22,17
1220,6,65,15
1221,6,66,14
1222,6,31,13
1223,6,35,12
1224,6,69,11
1225,6,70,10
1226,6,71,9
1227,6,25,8
1228,6,73,7
1229,6,11,6
1230,6,75,5
1231,6,33,4
1232,6,77,3
1233,6,78,2
1234,6,30,1
1235,65,60,20
1236,65,61,19
1237,65,29,18
1238,65,22,17
1239,65,6,16
1240,65,66,14
1241,65,31,13
1242,65,35,12
1243,65,69,11
1244,65,70,10
1245,65,71,9
1246,65,25,8
1247,65,73,7
1248,65,11,6
1249,65,75,5
1250,65,33,4
1251,65,77,3
1252,65,78,2
1253,65,30,1
1254,66,60,20
1255,66,61,19
1256,66,29,18
1257,66,22,17
1258,66,6,16
1259,66,65,15
1260,66,31,13
1261,66,35,12
1262,66,69,11
1263,66,70,10
1264,66,71,9
1265,66,25,8
1266,66,73,7
1267,66,11,6
1268,66,75,5
1269,66,33,4
1270,66,77,3
1271,66,78,2
1272,66,30,1
1273,31,60,20
1274,31,61,19
1275,31,29,18
